module_code,capacity
AAS-010R,75
AAS-010R,38
AAS-010R,37
AAS-170,40
ANAR-104,30
ANAR-104,30
ANAR-111,30
ANAR-117,10
ANAR-117,10
ANAR-159,30
ANAR-166,30
ANAR-181,30
ANBI-100,40
ANBI-100,60
ANBI-112,20
ANBI-117,30
ANBI-117,30
ANBI-134,30
ANBI-136,20
ANES-296,5
ANES-299,5
ANES-401,10
ANES-402,10
ANES-402,10
ANES-402T,10
ANES-403,10
ANES-403T,10
ANES-410,10
ANES-496,10
ANES-496,10
ANSC-121,60
ANSC-122,30
ANSC-124,40
ANSC-129,6
ANSC-142,40
ANSC-148,46
ANSC-152,20
ANSC-169,25
ANSC-169,25
ANSC-173,12
ANTH-001,150
ANTH-002,216
ANTH-002,36
ANTH-002,36
ANTH-002,36
ANTH-002,36
ANTH-002,36
ANTH-002,36
ANTH-021,192
ANTH-021,36
ANTH-021,36
ANTH-021,36
ANTH-021,36
ANTH-021,32
ANTH-021,36
ANTH-023,196
ANTH-023,34
ANTH-023,34
ANTH-023,32
ANTH-023,32
ANTH-023,32
ANTH-023,32
ANTH-030,30
ANTH-087,15
ANTH-087,15
ANTH-101,120
ANTH-101,30
ANTH-101,30
ANTH-101,30
ANTH-101,30
ANTH-105,80
ANTH-107,30
ANTH-108,40
ANTH-196A,15
ANTH-203,15
ANTH-212,10
ANTH-230,20
ANTH-241,5
ANTH-273,10
ANTH-278,10
ANTH-280A,15
ANTH-280D,10
ANTH-281A,15
ANTH-285,10
ANTH-295,8
ANTH-295,8
ANTH-295,5
ANTH-295,8
ANTH-295,5
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,6
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,8
ANTH-295,6
ANTH-295,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-296,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-299,8
ANTH-500,25
ASTR-001,300
ASTR-001,300
ASTR-018,37
ASTR-018,37
ASTR-020A,56
ASTR-020A,56
ASTR-065,75
ASTR-065,75
ASTR-101,40
ASTR-101,40
ASTR-104,32
ASTR-104,32
ASTR-122,37
ASTR-122,37
ASTR-150,40
ASTR-150,40
ASTR-200,30
ASTR-215,30
ASTR-250,30
ASTR-251,30
ASTR-500,30
AUD-236,13
AUD-236,13
AUD-236,13
AUD-236,13
AUD-257,12
AUD-263,13
AUD-274,13
AUD-274,13
AUD-284,13
AUD-284,13
AUD-284,13
AUD-284,13
AUD-291,13
AUD-296,13
AUD-296,13
AUD-296,13
AUD-298,13
AUD-298,13
AUD-299,13
AUD-299,13
AUD-299,13
AUD-299,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-003,13
AWP-004B,15
AWP-004B,15
BENG-001,100
BENG-001,50
BENG-001,50
BENG-002,30
BENG-002,30
BENG-100,60
BENG-100,60
BENG-110,90
BENG-110,30
BENG-110,30
BENG-110,30
BENG-122A,70
BENG-122A,70
BENG-133,40
BENG-133,40
BENG-135,40
BENG-135,40
BENG-141,40
BENG-141,40
BENG-152,60
BENG-152,60
BENG-152,30
BENG-152,30
BENG-161A,70
