Note:
• Seats_Total is the enrollment limit for the section.
• Seats_Available is the number of seats currently open.
• A blank instructor field means the instructor was not listed in the schedule data.


Subject,Course,Section,Type,Instructor,Seats_Total,Seats_Available
CAT,001,001-000-LE,lecture,Phoebe Bronstein,256,256
CAT,001,001-001-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-002-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-003-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-004-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-005-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-006-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-007-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-008-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-009-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-010-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-011-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-012-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-013-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-014-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-015-DI,discussion,Phoebe Bronstein,16,16
CAT,001,001-016-DI,discussion,Phoebe Bronstein,16,16
CAT,001,002-000-LE,lecture,David Bigham,224,224
CAT,001,002-001-DI,discussion,David Bigham,16,16
CAT,001,002-002-DI,discussion,David Bigham,16,16
CAT,001,002-003-DI,discussion,David Bigham,16,16
CAT,001,002-004-DI,discussion,David Bigham,16,16
CAT,001,002-005-DI,discussion,David Bigham,16,16
CAT,001,002-006-DI,discussion,David Bigham,16,16
CAT,001,002-007-DI,discussion,David Bigham,16,16
CAT,001,002-008-DI,discussion,David Bigham,16,16
CAT,001,002-009-DI,discussion,David Bigham,16,16
CAT,001,002-010-DI,discussion,David Bigham,16,16
CAT,001,002-011-DI,discussion,David Bigham,16,16
CAT,001,002-012-DI,discussion,David Bigham,16,16
CAT,001,002-013-DI,discussion,David Bigham,16,16
CAT,001,002-014-DI,discussion,David Bigham,16,16
CAT,001,003-000-LE,lecture,Guillermo Algaze,224,224
CAT,001,003-001-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-002-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-003-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-004-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-005-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-006-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-007-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-008-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-009-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-010-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-011-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-012-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-013-DI,discussion,Guillermo Algaze,16,16
CAT,001,003-014-DI,discussion,Guillermo Algaze,16,16
CAT,001,004-000-LE,lecture,Jennifer Marchisotto,256,256
CAT,001,004-001-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-002-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-003-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-004-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-005-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-006-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-007-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-008-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-009-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-010-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-011-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-012-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-013-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-014-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-015-DI,discussion,Jennifer Marchisotto,16,16
CAT,001,004-016-DI,discussion,Jennifer Marchisotto,16,16
CAT,090,001-000-SE,seminar,William Geibel,20,20
CAT,124,001-000-PR,pr,Becca Rose,20,20
CAT,124,001-001-SE,seminar,Becca Rose,20,20
CAT,124,002-000-PR,pr,Romain Delaville,20,20
CAT,124,002-001-SE,seminar,Romain Delaville,20,20
CAT,124,003-000-PR,pr,Maya Vanderschuit,20,20
CAT,124,003-001-SE,seminar,Maya Vanderschuit,20,20
CAT,125,001-000-SE,seminar,David Bigham,20,20
CAT,125,002-000-SE,seminar,David Bigham,20,20
CAT,125,003-000-SE,seminar,Jennifer Marchisotto,20,20
CAT,125,004-000-SE,seminar,Jennifer Marchisotto,20,20
CAT,125,005-000-SE,seminar,Celeste Morales,20,20
CAT,125,006-000-SE,seminar,Celeste Morales,20,20
CAT,125,007-000-SE,seminar,Celeste Morales,20,20
CAT,125,008-000-SE,seminar,Matthew Irwin,20,20
CAT,125,009-000-SE,seminar,Matthew Irwin,20,20
CAT,125,010-000-SE,seminar,Matthew Irwin,20,20
CAT,125,011-000-SE,seminar,Maya Vanderschuit,20,20
CAT,125,012-000-SE,seminar,Maya Vanderschuit,20,20
CAT,125,013-000-SE,seminar,Becca Rose,20,20
CAT,125,014-000-SE,seminar,Becca Rose,20,20
CAT,125,015-000-SE,seminar,Adriana Tosun,20,20
CAT,125,016-000-SE,seminar,Adriana Tosun,20,20
CAT,125,017-000-SE,seminar,William Geibel,20,20
CAT,125R,001-000-SE,seminar,Tina Hyland,20,20
CAT,125R,002-000-SE,seminar,Tina Hyland,20,20
CAT,125R,003-000-SE,seminar,Tina Hyland,20,20
CAT,125R,004-000-SE,seminar,Lauryn Smith,20,20
CAT,125R,005-000-SE,seminar,Lauryn Smith,20,20
CAT,125R,006-000-SE,seminar,Lauryn Smith,20,20
CAT,125R,007-000-SE,seminar,Adriana Tosun,20,20
CCE,001,001-000-SE,seminar,Kathryn Garcia,41,41
CCE,001,002-000-SE,seminar,Kathryn Garcia,41,41
CCE,001,003-000-SE,seminar,Louis Labat,41,41
CCE,001,004-000-SE,seminar,Louis Labat,41,41
CCE,001,005-000-SE,seminar,,41,41
CCE,001,006-000-SE,seminar,,41,41
CCE,001,007-000-SE,seminar,,41,41
CCE,001,008-000-SE,seminar,,41,41
CCE,002,001-000-SE,seminar,Kerry White,21,21
CCE,002,002-000-SE,seminar,Kerry White,21,21
CCE,002,003-000-SE,seminar,Kerry White,21,21
CCE,002,004-000-SE,seminar,Vabianna Santos,21,21
CCE,002,005-000-SE,seminar,Vabianna Santos,21,21
CCE,002,006-000-SE,seminar,Ash Merryman,21,21
CCE,002,007-000-SE,seminar,Ash Merryman,21,21
CCE,002,008-000-SE,seminar,Ash Merryman,21,21
CCE,002,009-000-SE,seminar,,21,21
CCE,002,010-000-SE,seminar,,21,21
CCE,002,011-000-SE,seminar,,21,21
CCE,003,003-000-SE,seminar,Louis Labat,21,21
CCE,003,004-000-SE,seminar,,21,21
CCE,003,005-000-SE,seminar,,21,21
CCE,003,006-000-SE,seminar,Kassandra Lee,21,21
CCE,003,007-000-SE,seminar,Kassandra Lee,21,21
CCE,110,001-000-SE,seminar,Danielle Williams,41,41
CCE,110,002-000-SE,seminar,James Crawford,41,41
CCE,110,003-000-SE,seminar,Nicole Kenley,41,41
CCE,110,004-000-SE,seminar,David Quijada,41,41
CCE,120,001-000-SE,seminar,Kassandra Lee,31,31
CCE,120,001-001-FW,fieldwork, ,31,31
CCE,120,002-000-SE,seminar,Kathryn Garcia,31,31
CCE,120,002-001-FW,fieldwork, ,31,31
CCE,120,003-000-SE,seminar,,31,31
CCE,120,003-001-FW,fieldwork, ,31,31
CCE,120,004-000-SE,seminar,,31,31
CCE,120,004-001-FW,fieldwork, ,31,31
CCE,120,007-000-SE,seminar,Michele Bigley,31,31
CCE,120,007-001-FW,fieldwork,Michele Bigley,31,31
CCE,120,008-000-SE,seminar,Michele Bigley,31,31
CCE,120,008-001-FW,fieldwork,Michele Bigley,31,31
CCE,500,001-000-SE,seminar,James Crawford,3,3
LTWL,500,001-000-DI,discussion,Andrea Mendoza,9999,9999
LTWL,500,002-000-DI,discussion,Jin‑Kyung Lee,9999,9999
LTWL,500,003-000-DI,discussion,Lillian Lu,9999,9999
LTWL,500,004-000-DI,discussion,John Blanco,9999,9999
LTWL,500,005-000-DI,discussion,Jeyseon Lee,9999,9999
LTWL,500,006-000-DI,discussion,Patricia Wells,9999,9999
LTWL,500,007-000-DI,discussion,Jaclyn Jemc,9999,9999
LTWL,500,008-000-DI,discussion,Brandon Som,9999,9999
MUS,095G,001-000-ST,studio,Kenneth Anderson,395,395
MUS,095G,002-000-ST,studio,Kenneth Anderson,395,395
NANO,004,001-000-LE,lecture,Oscar Vazquez Mena,24,24
NANO,004,001-001-LA,lab,Oscar Vazquez Mena,24,24
NANO,004,002-000-LE,lecture,Oscar Vazquez Mena,24,24
NANO,004,002-001-LA,lab,Oscar Vazquez Mena,24,24
NANO,004,003-000-LE,lecture,Oscar Vazquez Mena,24,24
NANO,004,003-001-LA,lab,Oscar Vazquez Mena,24,24
NANO,004,004-000-LE,lecture,Oscar Vazquez Mena,24,24
NANO,004,004-001-LA,lab,Oscar Vazquez Mena,24,24
NANO,015R,001-000-LE,lecture,Vlado Lubarda,110,110
NANO,020L,001-000-LA,lab,Zeinab Jahed,25,25
NANO,020L,002-000-LA,lab,Zeinab Jahed,25,25
NANO,020L,003-000-LA,lab,Shaochen Chen,25,25
NANO,020L,004-000-LA,lab,Shaochen Chen,25,25
NANO,102,001-000-LE,lecture,Andrea Tao,146,146
NANO,107,001-000-LE,lecture,Ertugrul Cubukcu,75,75
NANO,107,001-001-DI,discussion,Ertugrul Cubukcu,75,75
NANO,119,001-000-SE,seminar,Jesse Jokerst,20,20
NANO,119,002-000-SE,seminar,Jesse Jokerst,20,20
NANO,148,001-000-LE,lecture,Jian Luo,75,75
NANO,200,001-000-SE,seminar,Zeinab Jahed,120,120
NANO,201,001-000-LE,lecture,Donald Sirbuly,40,40
NANO,202,001-000-LE,lecture,Tod Pascal,40,40
NANO,227,001-000-LE,lecture,Olivia Graeve,15,15
