module_code,capacity
GPPS-400,50
GPPS-433,50
GPPS-439,50
GPPS-442,80
GPPS-476,60
GSS-020,40
GSS-020,40
HDS-001,175
HDS-001,25
HDS-001,25
HDS-001,25
HDS-001,25
HDS-001,25
HDS-001,25
HDS-001,25
HDS-060,60
HDS-060,30
HDS-060,30
HDS-111,40
HDS-124,40
HDS-150,25
HDS-175,30
HDS-181,30
HDS-181,30
HDS-181,30
HDS-191,20
HDS-191,20
HDS-191,20
HIAF-111,65
HIEA-137,40
HIEA-150,45
HIEU-116C,45
HIEU-124,49
HIEU-152,70
HIEU-184,15
HIGR-200,15
HIGR-202A,10
HIGR-208,15
HIGR-210,15
HIGR-236B,10
HIGR-240,10
HILA-118,65
HILA-122,65
HILA-132,123
HILA-135,65
HILA-169,10
HILA-269,5
HILD-002A,192
HILD-002A,32
HILD-002A,32
HILD-002A,32
HILD-002A,32
HILD-002A,32
HILD-002A,32
HILD-007A,448
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-007A,32
HILD-010,128
HILD-010,32
HILD-010,32
HILD-010,32
HILD-010,32
HILD-014,64
HILD-014,32
HILD-014,32
HILD-030,64
HILD-030,32
HILD-030,32
HINE-125,70
HINE-137,45
HINE-144,50
HISA-122,45
HISC-176,15
HISC-276,5
HITO-087,15
HITO-087,15
HITO-100,17
HITO-136,45
HITO-193,9999
HITO-194,2
HITO-194,1
HITO-194,3
HITO-194,1
HITO-194,1
HITO-194,1
HITO-194,1
HITO-194,1
HITO-194,1
HITO-194,1
HITO-194,1
HITO-194,2
HITO-194,2
HITO-194,1
HITO-194,1
HITO-194,2
HITO-196,20
HIUS-112,187
HIUS-114A,65
HIUS-141,49
HIUS-146,65
HIUS-181,15
HUM-001,180
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-001,15
HUM-003,174
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,116
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,203
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,232
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-003,29
HUM-088,20
HUM-100,18
HUM-100,18
HUM-100,18
HUM-100,18
HUM-100,18
HUM-100,18
HUM-100,18
HUM-100,18
HUM-100,18
HUM-501,12
INTL-100,120
INTL-100,20
INTL-100,20
INTL-100,20
INTL-100,20
INTL-100,20
INTL-100,20
INTL-101,70
INTL-101,35
INTL-101,35
INTL-102,70
INTL-102,35
INTL-102,35
INTL-190,18
INTL-190H,20
JAPN-010A,25
JAPN-010A,25
JAPN-010A,25
JAPN-010A,25
JAPN-010A,20
JAPN-010A,20
JAPN-010A,25
JAPN-010A,25
JAPN-010A,20
JAPN-010A,20
JAPN-010A,30
JAPN-010A,15
JAPN-010A,15
JAPN-010A,30
JAPN-010A,15
JAPN-010A,15
JAPN-010A,20
JAPN-010A,20
JAPN-010A,30
JAPN-010A,15
