term_code,module_code,class_name,course_title,section_code,instruction_type_name,capacity,enrolled,seats_available,waitlist_capacity,waitlist_enrolled,waitlist_available,status,is_cancelled,instructors_text
FA26,AAS-010R,AAS 010R,Intro/African-American Studies,001-000-LE,lecture,75,0,75,,,,AC,false,Libby Butler
FA26,AAS-010R,AAS 010R,Intro/African-American Studies,001-001-DI,discussion,38,0,38,,,,AC,false,Libby Butler
FA26,AAS-010R,AAS 010R,Intro/African-American Studies,001-002-DI,discussion,37,0,37,,,,AC,false,Libby Butler
FA26,AAS-170,AAS 170,Legacies of Research,001-000-SE,se,40,0,40,,,,AC,false,Chadwick Campbell
FA26,ANAR-104,ANAR 104,Intro GIS for Anth & Arch,001-000-LE,lecture,30,0,30,,,,AC,false,Gilad Shtienberg
FA26,ANAR-104,ANAR 104,Intro GIS for Anth & Arch,001-001-LA,lab,30,0,30,,,,AC,false,Gilad Shtienberg
FA26,ANAR-111,ANAR 111,Foundations of Archaeology,001-000-LE,lecture,30,0,30,,,,AC,false,Rachel Kalisher
FA26,ANAR-117,ANAR 117,Archaeology Field&Lab, SoCal,001-000-LE,lecture,10,0,10,,,,AC,false,Paul Goldstein
FA26,ANAR-117,ANAR 117,Archaeology Field&Lab, SoCal,001-001-FW,fw,10,0,10,,,,AC,false,Paul Goldstein
FA26,ANAR-159,ANAR 159,Societies/CaribbeanArchipelago,001-000-LE,lecture,30,0,30,,,,AC,false,Isabel Rivera-Collazo
FA26,ANAR-166,ANAR 166,Environmental Archaeology,001-000-LE,lecture,30,0,30,,,,AC,false,Nayeli Jiménez Cano
FA26,ANAR-181,ANAR 181,Archaeology/Hunters-Gatherers,001-000-LE,lecture,30,0,30,,,,AC,false,Jana Fortier
FA26,ANBI-100,ANBI 100,Special Topic/Biological Anth,001-000-LE,lecture,40,0,40,,,,AC,false,Maria Marchetto
FA26,ANBI-100,ANBI 100,Special Topic/Biological Anth,002-000-LE,lecture,60,0,60,,,,AC,false,
FA26,ANBI-112,ANBI 112,Methods in Human Neuroscience,001-000-LE,lecture,20,0,20,,,,AC,false,Maria Marchetto
FA26,ANBI-117,ANBI 117,Ancient Genomics,001-000-LE,lecture,30,0,30,,,,AC,false,Keolu Fox
FA26,ANBI-117,ANBI 117,Ancient Genomics,001-001-LA,lab,30,0,30,,,,AC,false,Keolu Fox
FA26,ANBI-134,ANBI 134,Human Evolutionary Genetics,001-000-LE,lecture,30,0,30,,,,AC,false,Amy Non
FA26,ANBI-136,ANBI 136,Human Comparative Neuroanatomy,001-000-LE,lecture,20,0,20,,,,AC,false,Ekaterini Semendeferi
FA26,ANES-296,ANES 296,Independent Study,001-000-IN,in,5,0,5,,,,AC,false,Brian Park
FA26,ANES-299,ANES 299,Anes/Independent Study Project,001-000-IN,in,5,0,5,,,,AC,false,Abhinav Gupta
FA26,ANES-401,ANES 401,Anesthesiology Clerkship,001-000-CL,cl,10,0,10,,,,AC,false,Lawrence Weinstein
FA26,ANES-402,ANES 402,Pain Med Eval & Intervntnl Clk,001-000-LE,lecture,10,0,10,,,,AC,false,Gregory Polston
FA26,ANES-402,ANES 402,Pain Med Eval & Intervntnl Clk,001-001-CL,cl,10,0,10,,,,AC,false,Gregory Polston
FA26,ANES-402T,ANES 402T,Pain Med Eval & Intervent Sel,001-000-CL,cl,10,0,10,,,,AC,false,Gregory Polston
FA26,ANES-403,ANES 403,Critical Care Medicine Clerksp,001-000-CL,cl,10,0,10,,,,AC,false,Angela Meier
FA26,ANES-403T,ANES 403T,Anes Critical Care Med Sel,001-000-CL,cl,10,0,10,,,,AC,false,Angela Meier
